contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
61,Aromatherapy for Sexuality & Romance,"Sorry again about the short notice...    Learn how to smell like sex for $50.    By diffusing essential oils, and using them in personal care products,...","308 Harvard St, Ste A, Brookline, MA 02446",2007-07-17 20:00:00,Yelp,Lectures,USD,50,https://www.yelp.com/events/brookline-aromatherapy-for-sexuality-and-romance?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,1.2214682155581007
62,Keep It Local Streetball,The I Keep it Local Streetball Team is coming to entertain the kids at the Frisoli Youth Center in Cambridge.    The Team is made up of streetballers mostly...,"61 Willow St, Cambridge, MA",2007-07-19 19:30:00,Yelp,Outdoors,USD,0,https://www.yelp.com/events/cambridge-keep-it-local-streetball?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,2.8843360574327326
63,Cinemental Presents Godspeed - A Fundraiser,CineMental goes to the Brattle to present its third screening event: a fundraiser for Godspeed the short film based on Lynnee Breedlove's novel of the same...,"40 Brattle St, Cambridge, MA 02138",2007-07-18 19:00:00,Yelp,Film,USD,15,https://www.yelp.com/events/cambridge-cinemental-presents-godspeed-a-fundraiser?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,2.2804589549347547
64,Sushi Snobs - Get Some Class,Fuji Sushi will take you to school on the basics of Japanese sushi rolling.    Their head sushi chef with 15 years of experience will teach you the right...,"136 Newbury St, Peabody, MA 01960",2007-07-18 18:00:00,Yelp,Food and Drink,USD,50,https://www.yelp.com/events/peabody-sushi-snobs-get-some-class?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,22.917116613382372
65,PUMA Pursuit Run-n-Mingle,"A social 3-mile run starting from City Sports on Boylston. Puts a whole new twist on ""chasing women."" Nothing like starting things off hot and...","55 Boylston Street, Chestnut Hill, MA 02467",2007-07-19 18:30:00,Yelp,Outdoors,USD,0,https://www.yelp.com/events/chestnut-hill-puma-pursuit-run-n-mingle?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,5.386686947048111
66,Midnight Madness Sale - Davis Square's Gone CRAZY,(Buying things will never fill that hole in your soul... But it sure does get you some cool s***!)    Davis Square has gone CRAZY!    Black &...,"Somerville, MA",2007-07-19 17:00:00,Yelp,Nightlife,USD,0,https://www.yelp.com/events/somerville-midnight-madness-sale-davis-squares-gone-crazy?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,4.107558236598438
67,Midnight Madness Shopping!,"Yeah, yeah. I know. Denim shopping. But WAIT, their WHOLE INVENTORY is on SALE. And where else can you shop at 11pm? Guys, don't think you got out of this,...","524 Commonwealth Ave, Boston, MA 02215",2007-07-19 18:00:00,Yelp,Fashion,USD,0,https://www.yelp.com/events/boston-midnight-madness-shopping?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,1.8720598422485109
68,Roxbury Film Festival,"Showings are held in a number of venues around town. The festival is dedicated to showcasing films that celebrate people of color, providing opportunity for...","465 Huntington Ave, Boston, MA 02115",2007-07-01 19:00:00,Yelp,Film,USD,20,https://www.yelp.com/events/boston-roxbury-film-festival?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,2.4816117763531076
69,ArtsCentral: See Art in Everything Oct. 12-13,"During the second-ever ArtsCentral, Central Square's streets will come alive with art!  From glass sculpture to fashion design, from theatrical performances...","581 Massachusetts Ave, Cambridge, MA 02139",1907-10-12 18:00:00,Yelp,Festivals,USD,5,https://www.yelp.com/events/cambridge-artscentral-see-art-in-everything-oct-12-13?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,1.8024572615017664
70,80&amp;amp;#39;s Night At The Lansdowne Pub!,Join us for the ULTIMATE 80's Party at your favorite pub - The Lansdowne!  Put on your neon & spandex and head down to the pub for your chance to  WIN...,"9 Lansdowne St, Boston, MA 02215",2007-06-26 20:00:00,Yelp,Nightlife,USD,0,https://www.yelp.com/events/boston-80-and-amp-amp-39-s-night-at-the-lansdowne-pub?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,1.9668668526652147
71,Pottery & Pints,Join us for a fabulous night making your own mugs at our Brookline pottery studio while enjoying a crisp pint of beer.,"10 Brookline Pl, Brookline, MA 02445, USA",2025-02-18 19:00:00,Host,Pottery,USD,25,617 543 2316,2.3300667323752435
72,Hockey at BU,Join us for an exciting night of watching Hockey at Black Rose Pub!,"160 State St, Boston, MA 02109, USA",2024-12-10 15:00:00,Host,Hockey,USD,75,253 675 8912,5.301960326505344
73,F1 Watch Party,We are hosting a Formula 1 watch party at our local bar. Join us for a pint and some exciting races!,"160 State St, Boston, MA 02109, USA",2024-12-23 20:00:00,Host,Motorsports,USD,35,919 479 2390,5.301960326505344
74,NASCAR Fan Club Party,We love NASCAR and we host watch parties for the races. Join us and bring your friends!,"1604 NE Hwy 101, Lincoln City, OR 97367, USA",2024-12-23 20:00:00,Host,Motorsports,USD,22,919 479 2390,4188.500810765157
75,The Music of Tartuffe,"The Boston University Jazz band will be performing a modern reconstruction of Tartuffe, now in instrumental form.","200 Stuart St, Boston, MA 02116, USA",2023-12-31 17:01:00,Host,Music,USD,35,503-712-3551,4.151712665783242
76,"Chinese New Year, very early","We're doing Chinese New Year, very early","Paris, France",2024-12-24 12:00:00,Host,Festivals,USD,0,532-450-0302,5535.559372883949
77,Camping at the Great Lakes,We will be embarking upon a camping trip overseeing the great lakes. Bring your own gear!,"Great Lakes Dr, North Chicago, IL 60088, USA",2024-12-13 12:11:00,Host,Outdoors,USD,20,559-390-7085,1374.835901154298
78,Hibana Flower Arangement Workshop,We will be participating the classic art of Japanese flower arrangement. New faces are welcomee!,"925 Commonwealth Ave, Boston, MA 02215, USA",2024-12-13 16:00:00,Host,Workshops,USD,22,875-472-0958,0.1105514925708647
79,Apple Picking,Join the farmify team for their grand opening apple picking event!,"Boston, MA, USA",2024-12-18 12:00:00,Host,Family,USD,67,5083085507,4.892752010774022
80,Standup,Standup comedy at the club,"5th Ave, New York, NY, USA",2024-12-14 03:34:00,Host,Comedy,USD,70,779-641-4179,294.86091343422703
81,Deep Dive bar,"Big bar, much alchohol, big money","5th Ave, New York, NY, USA",2024-12-14 17:00:00,Host,Nightlife,USD,150,1-408-331-0448,294.86091343422703
82,San Francisco Potterymaking Studio,Pottery!,"San Francisco, CA, USA",2024-12-23 10:30:00,Host,Pottery,USD,50,716-600-5012,4329.0697432429
83,The Rink,One last showing of the Rink!,"Booth St, Needham, MA 02494, USA",2024-12-20 07:37:00,Host,Theater,USD,23,517.407.9959,11.913992305644863
84,Showing at the AMC,Movie,"Boston, MA, USA",2024-12-31 13:20:00,Host,Film,USD,0,503-712-3551,4.892752010774022
85,Science fair,Science fair at local school,"Baker School Rd, Pennsylvania, USA",2024-12-31 10:00:00,Host,Science,USD,0,559-390-7085,751.0122195695525
86,Christmas Event at BU,Christmas event at BU!,"Boston, MA, USA",2024-12-31 15:44:00,Host,Holiday,USD,10,532-450-0302,4.892752010774022
87,Therapy at Mass general,Free therapy for anyone and everyone,"55 Fruit St, Boston, MA 02114, USA",2024-12-23 12:00:00,Host,Wellness,USD,0,875-472-0958,4.2193686754921345
88,Formula 1 Watch Party,Hey guys! Im watching formula one this weekend. Come tag along in my apartment!,"44 Buswell St, Boston, MA 02215, USA",2024-12-15 17:00:00,Host,Motorsports,USD,5,9085680623,1.1466267156672043
89,Pet Daycare,Bring your pets to our daycare for a day of fun and excitement!,"606 Commonwealth Ave, Boston, MA 02215, USA",2024-12-15 12:00:00,Host,Pets,USD,25,908-568-0623,1.4557892012590414
